word_segment,instances,prominence
འི་,38,8.501118568232663
ཀླུ་,28,6.263982102908278
རྣམས་,16,3.5794183445190155
ལ་,13,2.9082774049217
ཀླུ,13,2.9082774049217
ཚོགས་,13,2.9082774049217
སྡེ་,12,2.684563758389262
ན་,11,2.460850111856823
གནས་པ,10,2.237136465324385
ལྷ་,10,2.237136465324385
ཡོད་,8,1.7897091722595078
དེ་རིང་,8,1.7897091722595078
ཡི་,6,1.342281879194631
བཞིན་,6,1.342281879194631
སྤེལ་བ,6,1.342281879194631
ནོར་,5,1.1185682326621924
བསངས་,4,0.8948545861297539
ས་,4,0.8948545861297539
ཀླུ་མོ་,4,0.8948545861297539
རྟ་,4,0.8948545861297539
ཀུན་,4,0.8948545861297539
ཆོད་,4,0.8948545861297539
མཛོད,4,0.8948545861297539
ཝེར་,4,0.8948545861297539
རཏྣ་,4,0.8948545861297539
སྭཱ་,4,0.8948545861297539
ཧཱ,4,0.8948545861297539
བྱུང་,3,0.6711409395973155
ནས་,3,0.6711409395973155
དེ་,3,0.6711409395973155
རིགས་,3,0.6711409395973155
མི་,3,0.6711409395973155
གྱུར་ཅིག,3,0.6711409395973155
སུམ་བརྒྱ་,3,0.6711409395973155
དྲུག་,3,0.6711409395973155
བསྲུང་,3,0.6711409395973155
སྐྱོབས་,3,0.6711409395973155
ཡིས་,3,0.6711409395973155
འབྱུང་,2,0.44742729306487694
འཁྲུངས,2,0.44742729306487694
རྒྱ་མཚོ་,2,0.44742729306487694
སྨན་,2,0.44742729306487694
ནས,2,0.44742729306487694
དཀར་པོ་,2,0.44742729306487694
སེར་པོ་,2,0.44742729306487694
ལྗང་ཁུ་,2,0.44742729306487694
ནག་པོ་,2,0.44742729306487694
ཀླུ་ཆེན་,2,0.44742729306487694
འཁོར་བཅས་,2,0.44742729306487694
ལུག་,2,0.44742729306487694
གཡང་,2,0.44742729306487694
ནད་ཡམས་,2,0.44742729306487694
གིས་,2,0.44742729306487694
སྐམ་པོ་,2,0.44742729306487694
དུ་,2,0.44742729306487694
བཅུ,2,0.44742729306487694
ཕྱུགས་,2,0.44742729306487694
༄,1,0.22371364653243847
ཀྱཻ་,1,0.22371364653243847
དང་པོ་,1,0.22371364653243847
གང་,1,0.22371364653243847
མཛམ་,1,0.22371364653243847
བུ,1,0.22371364653243847
གླིང་,1,0.22371364653243847
ནམ་མཁའ་,1,0.22371364653243847
སྤྲིན་,1,0.22371364653243847
གྱི་,1,0.22371364653243847
རྨུག་པ་,1,0.22371364653243847
ཆགས,1,0.22371364653243847
རྩི་ཤིང་,1,0.22371364653243847
སྣ་ཚོགས་,1,0.22371364653243847
འོ་མ,1,0.22371364653243847
མེ་ཏོག་,1,0.22371364653243847
མང་པོ་,1,0.22371364653243847
སྐྱེས,1,0.22371364653243847
གསོ་,1,0.22371364653243847
བསྐྱེད་,1,0.22371364653243847
བདུད་རྩི,1,0.22371364653243847
ཆ,1,0.22371364653243847
ར་,1,0.22371364653243847
འབེབས,1,0.22371364653243847
